year,month,number
1978,2,428800
1978,3,424800
1978,4,403400
1978,5,398400
1978,6,393500
1978,7,380500
1978,8,398300
1978,9,387300
1978,10,370400
1978,11,372800
1978,12,444600
1979,1,449900
1979,2,458100
1979,3,424800
1979,4,420600
1979,5,400100
1979,6,393000
1979,7,387100
1979,8,377500
1979,9,400400
1979,10,391400
1979,11,363600
1979,12,431000
1980,1,441700
1980,2,448500
1980,3,415600
1980,4,408000
1980,5,416600
1980,6,409300
1980,7,387600
1980,8,394500
1980,9,407600
1980,10,378500
1980,11,359600
1980,12,435700
1981,1,433800
1981,2,427700
1981,3,413300
1981,4,379500
1981,5,379300
1981,6,353700
1981,7,378200
1981,8,380600
1981,9,394000
1981,10,374000
1981,11,375000
1981,12,437600
1982,1,443900
1982,2,488800
1982,3,463900
1982,4,440000
1982,5,453800
1982,6,451600
1982,7,453400
1982,8,461400
1982,9,509100
1982,10,540600
1982,11,555100
1982,12,677400
1983,1,694600
1983,2,750100
1983,3,733900
1983,4,709300
1983,5,720500
1983,6,693200
1983,7,687200
1983,8,686800
1983,9,720900
1983,10,653100
1983,11,624700
1983,12,690000
1984,1,717800
1984,2,736500
1984,3,699900
1984,4,675600
1984,5,635600
1984,6,632500
1984,7,594900
1984,8,604000
1984,9,620800
1984,10,578400
1984,11,571200
1984,12,627400
1985,1,657700
1985,2,674100
1985,3,672800
1985,4,615300
1985,5,609100
1985,6,607600
1985,7,566900
1985,8,572700
1985,9,589200
1985,10,534800
1985,11,543100
1985,12,591100
1986,1,624800
1986,2,665300
1986,3,642600
1986,4,608700
1986,5,594500
1986,6,563800
1986,7,596100
1986,8,597600
1986,9,633100
1986,10,591000
1986,11,584200
1986,12,655800
1987,1,670700
1987,2,699700
1987,3,712900
1987,4,652000
1987,5,635100
1987,6,603100
1987,7,610100
1987,8,602000
1987,9,597600
1987,10,585400
1987,11,567100
1987,12,620600
1988,1,646200
1988,2,644800
1988,3,645200
1988,4,644800
1988,5,593000
1988,6,569100
1988,7,518800
1988,8,538700
1988,9,554600
1988,10,507900
1988,11,488400
1988,12,563300
1989,1,592400
1989,2,598100
1989,3,546300
1989,4,516100
1989,5,518500
1989,6,477400
1989,7,483400
1989,8,469400
1989,9,501300
1989,10,457400
1989,11,446700
1989,12,501900
1990,1,550400
1990,2,593700
1990,3,548900
1990,4,534200
1990,5,550500
1990,6,541800
1990,7,569300
1990,8,587400
1990,9,627700
1990,10,607000
1990,11,629500
1990,12,704600
1991,1,767700
1991,2,812200
1991,3,824600
1991,4,856300
1991,5,812200
1991,6,764100
1991,7,801700
1991,8,806000
1991,9,867200
1991,10,801600
1991,11,817500
1991,12,920900
1992,1,959700
1992,2,997700
1992,3,949100
1992,4,910900
1992,5,920400
1992,6,914200
1992,7,926300
1992,8,906400
1992,9,926100
1992,10,902500
1992,11,895300
1992,12,979900
1993,1,1009700
1993,2,1043800
1993,3,979800
1993,4,921600
1993,5,923500
1993,6,914500
1993,7,891700
1993,8,916000
1993,9,931700
1993,10,902400
1993,11,893700
1993,12,941500
1994,1,980100
1994,2,1006900
1994,3,949200
1994,4,883200
1994,5,849900
1994,6,839200
1994,7,803900
1994,8,797900
1994,9,830800
1994,10,753300
1994,11,764100
1994,12,807600
1995,1,853700
1995,2,886200
1995,3,815700
1995,4,743000
1995,5,753600
1995,6,724800
1995,7,709600
1995,8,721900
